date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:48	110728/110728	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202023%2017:26:47%20GMT	https://www.fixltd.co.uk/	/Users/godisgreat/websites/web.tutorial/www.fixltd.co.uk/index.html	(from )
10:26:48	127/127	---MCZ	200	added ('OK')	text/plain	date:Sat,%2001%20Jul%202023%2017:26:47%20GMT	https://www.fixltd.co.uk/robots.txt		(from )
10:26:49	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2261430bab-d17%22	https://www.fixltd.co.uk/wp-content/plugins/my-custom-functionality-master/assets/css/owl.carousel.min.css?ver=2.3.4	/Users/godisgreat/websites/web.tutorial/www.fixltd.co.uk/wp-content/plugins/my-custom-functionality-master/assets/css/owl.carousel.min531b.css	(from https://www.fixltd.co.uk/)
10:26:50	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%2261430bae-3f5%22	https://www.fixltd.co.uk/wp-content/plugins/my-custom-functionality-master/assets/css/owl.theme.default.min.css?ver=2.3.4	/Users/godisgreat/websites/web.tutorial/www.fixltd.co.uk/wp-content/plugins/my-custom-functionality-master/assets/css/owl.theme.default.min531b.css	(from https://www.fixltd.co.uk/)
10:26:51	6950/6950	---MCZ	200	added ('OK')	text/css	etag:W/%2261430b82-1b26%22	https://www.fixltd.co.uk/wp-content/plugins/my-custom-functionality-master/assets/css/magnific-popup.css?ver=1.1.0	/Users/godisgreat/websites/web.tutorial/www.fixltd.co.uk/wp-content/plugins/my-custom-functionality-master/assets/css/magnific-popupf488.css	(from https://www.fixltd.co.uk/)
10:26:52	97517/97517	---MCZ	200	added ('OK')	text/css	etag:W/%2264285247-17ced%22	https://www.fixltd.co.uk/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	/Users/godisgreat/websites/web.tutorial/www.fixltd.co.uk/wp-includes/css/dist/block-library/style.min3781.css	(from https://www.fixltd.co.uk/)
10:26:53	291/291	---MCZ	200	added ('OK')	text/css	etag:W/%2264285248-123%22	https://www.fixltd.co.uk/wp-includes/css/classic-themes.min.css?ver=6.2.2	/Users/godisgreat/websites/web.tutorial/www.fixltd.co.uk/wp-includes/css/classic-themes.min3781.css	(from https://www.fixltd.co.uk/)
10:26:54	2859/2859	---MCZ	200	added ('OK')	text/css	etag:W/%22647766bf-b2b%22	https://www.fixltd.co.uk/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.7	/Users/godisgreat/websites/web.tutorial/www.fixltd.co.uk/wp-content/plugins/contact-form-7/includes/css/stylesf2b4.css	(from https://www.fixltd.co.uk/)
10:26:55	1829/1829	---MCZ	200	added ('OK')	text/css	etag:W/%225d652d07-725%22	https://www.fixltd.co.uk/wp-content/plugins/my-custom-functionality-master/assets/css/flickity.min.css?ver=6.2.2	/Users/godisgreat/websites/web.tutorial/www.fixltd.co.uk/wp-content/plugins/my-custom-functionality-master/assets/css/flickity.min3781.css	(from https://www.fixltd.co.uk/)
10:26:56	58129/58129	---MCZ	200	added ('OK')	text/css	etag:W/%225d6fbd4e-e311%22	https://www.fixltd.co.uk/wp-content/plugins/my-custom-functionality-master/assets/css/animate.min.css?ver=6.2.2	/Users/godisgreat/websites/web.tutorial/www.fixltd.co.uk/wp-content/plugins/my-custom-functionality-master/assets/css/animate.min3781.css	(from https://www.fixltd.co.uk/)
